Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame; GC Alloc Total (bytes); GC Alloc Count; GC Alloc Mean (bytes); GC Alloc Median (bytes); GC Alloc Min (bytes); GC Alloc Max (bytes); GC Alloc Lower Quartile (bytes); GC Alloc Upper Quartile (bytes); GC Alloc Median Frame Index; GC Alloc Min Frame Index; GC Alloc Max Frame Index
"PlayerLoop";18.26885;3.713308;53.35453;3486;2676;3573;1;1;50798.5569252968;25.39928;16.45515;33.37716;2000;1;1;1;2000;2583;3.713308;53.35453;2676;3573;18.26885;207299;8547;103;99;82;133;99;116;3987;2583;2594
"PostLateUpdate.FinishFrameRendering";15.01231;1.970769;49.09761;4269;2666;2628;2;2;43427.8038725853;21.7139;13.77962;30.72154;2000;1;1;1;2000;2583;1.970769;49.09761;2666;2628;15.73223;96000;2000;48;48;48;48;48;48;3582;2583;2583
"Gfx.WaitForPresentOnGfxThread";12.31792;0.000308;47.79231;2697;2666;2628;3;3;38053.8394335484;19.02692;11.08377;28.05969;2000;1;1;1;2000;2583;0.000308;47.79231;2666;2628;13.14192;0;0;0;0;0;0;0;0;3582;2583;2583
"Semaphore.WaitForSignal";12.31662;0.000307;47.79139;2697;2673;2628;4;4;38050.5112227247;19.02526;11.08;28.05762;2000;1;1;1;2000;2583;0.000307;47.79139;2673;2628;13.14031;0;0;0;0;0;0;0;0;3582;2583;2583
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";2.369154;1.108231;7.03377;4164;2611;2734;3;3;4814.79667961597;2.407398;2.269538;2.517154;2000;1;1;1;2000;2583;1.108231;7.03377;2611;2734;2.287385;96000;2000;48;48;48;48;48;48;3582;2583;2583
"Inl_UniversalRenderTotal";2.321846;1.083;6.996693;3220;2611;2734;4;4;4723.59319198132;2.361797;2.225;2.470077;2000;1;1;1;2000;2583;1.083;6.996693;2611;2734;2.243769;96000;2000;48;48;48;48;48;48;3582;2583;2583
"Inl_RenderCameraStack";2.241769;1.043;6.94777;2679;2611;2734;5;5;4565.16872632504;2.282584;2.147923;2.384308;2000;1;1;1;2000;2583;1.043;6.94777;2611;2734;2.170154;96000;2000;48;48;48;48;48;48;3582;2583;2583
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";1.402692;0.64977;2.740077;4002;2684;3574;6;6;2755.91952091455;1.37796;1.339;1.467307;2000;1;1;1;2000;2583;0.64977;2.740077;2684;3574;1.408308;96000;2000;48;48;48;48;48;48;3582;2583;2583
"GC.Collect";0.696693;0.696693;1.26277;3992;3992;3994;5;5;1.9594629406929;0.9797314;0.696693;0.696693;2;1;1;1;2;3992;0.696693;1.26277;3992;3994;0;0;0;0;0;0;0;0;0;3992;3992;3992
"Update.ScriptRunBehaviourUpdate";0.669846;0.271077;3.420077;3847;2652;3879;2;2;1361.44883593917;0.6807244;0.627308;0.720615;2000;1;1;1;2000;2583;0.271077;3.420077;2652;3879;0.650153;0;0;0;0;0;0;0;0;3582;2583;2583
"BehaviourUpdate";0.667615;0.270231;3.416615;3242;2652;3879;3;3;1356.14945468307;0.6780747;0.625538;0.717462;2000;1;1;1;2000;2583;0.270231;3.416615;2652;3879;0.648308;0;0;0;0;0;0;0;0;3582;2583;2583
"Inl_ScriptableRenderContext.Submit";0.582769;0.242769;5.997846;3296;2628;2734;6;6;1314.57113879919;0.6572856;0.523385;0.684924;2000;1;1;1;2000;2583;0.242769;5.997846;2628;2734;0.524307;0;0;0;0;0;0;0;0;3582;2583;2583
"UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";0.474231;0.194769;5.937;3081;2628;2734;7;7;1095.5112221092;0.5477556;0.421154;0.564693;2000;1;1;1;2000;2583;0.194769;5.937;2628;2734;0.423307;0;0;0;0;0;0;0;0;3582;2583;2583
"PostLateUpdate.ProfilerEndFrame";0.443923;0.204923;3.101154;2832;2673;3564;2;2;924.770154505968;0.4623851;0.433308;0.476077;2000;1;1;1;2000;2583;0.204923;3.101154;2673;3564;0.531308;0;0;0;0;0;0;0;0;3582;2583;2583
"ExecuteRenderGraph";0.443308;0.180307;5.909615;3400;2628;2734;8;8;1032.29874126613;0.5161493;0.392;0.526846;2000;1;1;1;2000;2583;0.180307;5.909615;2628;2734;0.395692;0;0;0;0;0;0;0;0;3582;2583;2583
"Profiler.FlushCounters";0.440385;0.203462;3.095385;2782;2673;3564;3;3;917.960974648595;0.4589805;0.430154;0.472538;2000;1;1;1;2000;2583;0.203462;3.095385;2673;3564;0.528077;0;0;0;0;0;0;0;0;3582;2583;2583
"Inl_RecordRenderGraph";0.433923;0.202692;0.988538;3159;2587;3682;7;7;867.364328846335;0.4336822;0.415384;0.464385;2000;1;1;1;2000;2583;0.202692;0.988538;2587;3682;0.42;96000;2000;48;48;48;48;48;48;3582;2583;2583
"Assembly-CSharp.dll!Starters::RandomMover.Update() [Invoke]";0.4318545;0.1774638;2.392007;3958;2652;3821;4;4;892.867328360677;0.4464337;0.4136966;0.4725386;424000;212;212;212;2000;2583;0.000384;1.752308;2583;3821;0.4227688;0;0;0;0;0;0;0;0;3582;2583;2583
"CullScriptable";0.409231;0.172923;1.15723;3234;2651;3558;7;7;826.861213415861;0.4134306;0.378846;0.449923;2000;1;1;1;2000;2583;0.172923;1.15723;2651;3558;0.475462;0;0;0;0;0;0;0;0;3582;2583;2583
"Inl_On Record Render Graph";0.406077;0.188692;0.815384;3159;2587;3379;8;8;813.564403951168;0.4067822;0.389846;0.436846;2000;1;1;1;2000;2583;0.188692;0.815384;2587;3379;0.394769;96000;2000;48;48;48;48;48;48;3582;2583;2583
"Profiler.FlushMemoryCounters";0.315384;0.147615;1.860307;3439;2673;3574;4;4;655.569769471884;0.3277849;0.309538;0.330462;2000;1;1;1;2000;2583;0.147615;1.860307;2673;3574;0.407077;0;0;0;0;0;0;0;0;3582;2583;2583
"RenderLoop.ScheduleDraw";0.311616;0.133154;10.01008;2826;2684;2734;10;11;730.09054748714;0.3650453;0.284923;0.383539;4000;2;2;2;2000;2583;0.063692;5.007076;2644;2734;0.301845;0;0;0;0;0;0;0;0;3582;2583;2583
"WaitForJobGroupID";0.309154;0.025616;2.923693;3471;2669;4453;3;12;621.673563115299;0.3136597;0.257539;0.369923;8034;4;1;7;1982;2583;0.001769;2.724077;2604;4453;0.275616;0;0;0;0;0;0;0;0;3580;2583;2583
"Inl_ExecuteRenderGraph";0.260308;0.126385;0.779384;4373;2684;3121;7;7;533.446300908923;0.2667232;0.253;0.290384;2000;1;1;1;2000;2583;0.126385;0.779384;2684;3121;0.254385;0;0;0;0;0;0;0;0;3582;2583;2583
"PostLateUpdate.UpdateAllRenderers";0.210231;0.082154;2.826461;4283;2647;4453;2;2;473.872623994946;0.2369363;0.182538;0.26823;2000;1;1;1;2000;2583;0.082154;2.826461;2647;4453;0.204615;0;0;0;0;0;0;0;0;3582;2583;2583
"CullResults.CreateSharedRendererScene";0.173769;0.065;0.845153;4569;2648;3247;8;8;348.25053896755;0.1741253;0.155769;0.191461;2000;1;1;1;2000;2583;0.065;0.845153;2648;3247;0.254385;0;0;0;0;0;0;0;0;3582;2583;2583
"SceneCulling";0.168846;0.062462;0.87823;4477;2604;4269;8;8;362.133008290082;0.1810665;0.147385;0.201231;2000;1;1;1;2000;2583;0.062462;0.87823;2604;4269;0.163923;0;0;0;0;0;0;0;0;3582;2583;2583
"Renderer2D Pass";0.163923;0.069154;5.024847;3164;2684;2734;9;9;400.136371575296;0.2000682;0.149154;0.224615;2000;1;1;1;2000;2583;0.069154;5.024847;2684;2734;0.157307;0;0;0;0;0;0;0;0;3582;2583;2583
"EngineJob";0.155692;0.000615;1.356462;3449;2602;4278;4;13;297.942974244244;0.1538962;0.107077;0.194541;8667;3;1;16;1936;2583;7.6E-05;1.303385;2663;4278;0.162078;0;0;0;0;0;0;0;0;3587;2583;2583
"EndRenderQueueExtraction";0.145231;0.051461;0.809769;3689;2648;3247;9;9;292.61630307138;0.1463082;0.128616;0.162385;2000;1;1;1;2000;2583;0.051461;0.809769;2648;3247;0.228;0;0;0;0;0;0;0;0;3582;2583;2583
"RenderLoop.DrawSRPBatcher";0.129846;0.053538;4.990231;3983;2648;2734;12;12;305.777744259685;0.1528889;0.120538;0.147077;2000;1;1;1;2000;2583;0.053538;4.990231;2648;2734;0.132385;0;0;0;0;0;0;0;0;3582;2583;2583
"Idle";0.106077;0.106077;0.143384;3551;3551;3247;11;11;0.249460995197296;0.1247305;0.106077;0.106077;2;1;1;1;2;3247;0.106077;0.143384;3551;3247;0;0;0;0;0;0;0;0;0;3247;3247;3247
"ExecuteRenderQueueJob";0.095077;0.042769;0.252308;4012;2651;3286;12;12;149.548861000687;0.0944718;0.085846;0.103077;1583;1;1;1;1583;2584;0.042769;0.252308;2651;3286;0.103615;0;0;0;0;0;0;0;0;3593;2584;2584
"SpriteRenderer.PrepareNode";0.092077;0.041307;0.248539;2752;2686;3286;13;13;144.915984813124;0.09154516;0.082846;0.1;1583;1;1;1;1583;2584;0.041307;0.248539;2686;3286;0.100385;0;0;0;0;0;0;0;0;3593;2584;2584
"TransformChangeSystem";0.089459;0.028229;2.614157;3534;2647;4113;3;9;238.875592263415;0.1194378;0.083845;0.104617;32735;15;10;25;2000;2583;0;2.604;2584;4113;0.113692;0;0;0;0;0;0;0;0;3582;2583;2583
"ScheduleUpdateRendererBoundingVolumes";0.080077;0.024231;2.607308;4138;2647;4113;3;3;221.112922089174;0.1105565;0.075693;0.092616;2000;1;1;1;2000;2583;0.024231;2.607308;2647;4113;0.101;0;0;0;0;0;0;0;0;3582;2583;2583
"RenderLoop.Prepare";0.075999;0.032768;0.160846;3992;2649;3223;13;14;7.56885698437691;0.07208435;0.066;0.080384;210;2;2;2;105;2586;0.015153;0.083;2649;3223;0;0;0;0;0;0;0;0;0;3568;2586;2586
"UIEvents.CanvasManagerRenderOverlays";0.074154;0.034846;1.443154;3466;2592;3610;9;9;168.040816154331;0.08402041;0.07177;0.077;2000;1;1;1;2000;2583;0.034846;1.443154;2592;3610;0.074846;0;0;0;0;0;0;0;0;3582;2583;2583
"UI.RenderOverlays";0.072615;0.034154;1.441307;2849;2592;3610;10;10;164.598643448204;0.08229932;0.070154;0.075385;2000;1;1;1;2000;2583;0.034154;1.441307;2592;3610;0.072923;0;0;0;0;0;0;0;0;3582;2583;2583
"PostLateUpdate.PlayerUpdateCanvases";0.067692;0.033231;1.034384;3774;2607;2677;2;2;141.656368508935;0.07082818;0.065769;0.069846;2000;1;1;1;2000;2583;0.033231;1.034384;2607;2677;0.065231;0;0;0;0;0;0;0;0;3582;2583;2583
"Graphics.Blit";0.066847;0.030154;0.343155;3706;2611;3601;6;7;10.4066179338843;0.07824524;0.064999;0.069616;266;2;2;2;133;2596;0.015077;0.171693;2611;3601;0;0;0;0;0;0;0;0;0;3586;2596;2596
"Canvas.RenderOverlays";0.066461;0.031154;1.348846;3235;2592;3610;11;11;148.722519736737;0.07436126;0.064308;0.069154;2000;1;1;1;2000;2583;0.031154;1.348846;2592;3610;0.067307;0;0;0;0;0;0;0;0;3582;2583;2583
"Profiler.CollectLegacyStats";0.063923;0.03077;0.771692;4300;2585;2607;4;4;141.395906127989;0.07069796;0.062461;0.066231;2000;1;1;1;2000;2583;0.03077;0.771692;2585;2607;0.063;0;0;0;0;0;0;0;0;3582;2583;2583
"UpdateRendererBoundingVolumes";0.062384;0.002077;1.337692;4146;2744;4278;4;5;117.471483888803;0.06992351;0.055385;0.088231;4101;3;1;4;1680;2584;0.001846;1.301923;2647;4278;0.060847;0;0;0;0;0;0;0;0;3601;2584;2584
"Material.SetPassFast";0.059078;0.026693;0.515615;3175;2585;3597;4;12;131.731588616967;0.06586579;0.056923;0.062077;6000;3;3;3;2000;2583;0.007308;0.360307;2588;4181;0.058231;0;0;0;0;0;0;0;0;3582;2583;2583
"Profiler.RequestScreenshot";0.057847;0.027308;0.326846;2776;2611;4036;5;5;8.96361397393048;0.06739559;0.056231;0.06;133;1;1;1;133;2596;0.027308;0.326846;2611;4036;0;0;0;0;0;0;0;0;0;3586;2596;2596
"SRPBatcher.Flush";0.057;0.021846;4.780923;3582;2684;2734;13;13;149.762705473229;0.07488135;0.051;0.064231;2000;1;1;1;2000;2583;0.021846;4.780923;2684;2734;0.057846;0;0;0;0;0;0;0;0;3582;2583;2583
"Profiler.FlushCountersWithFlushOnEndOfFrame";0.055077;0.021461;1.924;4220;2644;3564;4;4;113.93302969262;0.05696651;0.04977;0.057231;2000;1;1;1;2000;2583;0.021461;1.924;2644;3564;0.054462;0;0;0;0;0;0;0;0;3582;2583;2583
"UIEvents.WillRenderCanvases";0.051924;0.026692;1.025154;3013;2625;2677;3;3;109.507431739941;0.05475372;0.050769;0.053461;2000;1;1;1;2000;2583;0.026692;1.025154;2625;2677;0.050461;0;0;0;0;0;0;0;0;3582;2583;2583
"UGUI.Rendering.UpdateBatches";0.050538;0.025923;1.023692;4574;2625;2677;4;4;106.818986723199;0.05340949;0.049538;0.052;2000;1;1;1;2000;2583;0.025923;1.023692;2625;2677;0.049461;0;0;0;0;0;0;0;0;3582;2583;2583
"TimeUpdate.WaitForLastPresentationAndUpdateTime";0.050461;0.023077;30.01908;3949;2585;3992;2;2;2215.92366372608;1.107962;0.048846;0.052616;2000;1;1;1;2000;2583;0.023077;30.01908;2585;3992;0.048616;0;0;0;0;0;0;0;0;3582;2583;2583
"DestroyCullResults";0.049308;0.023385;0.385846;3848;2684;3547;3;3;102.381793728098;0.0511909;0.045539;0.052308;2000;1;1;1;2000;2583;0.023385;0.385846;2684;3547;0.049769;0;0;0;0;0;0;0;0;3582;2583;2583
